Spike Factor,Spike Duration,Iteration,Grad (mean),Exp Avg (mean),Exp Avg Sq (mean),Denom (mean),Norm Grad (mean)
0.0,1,0,3.6103104190191427e-11,3.6103104190191385e-12,3.805756413793923e-22,1.0016825487303545e-08,0.000360968182209462
0.0,1,1,5.1663499200501706e-05,5.166353169329546e-06,2.5468609712691705e-10,1.4286073214364677e-05,0.7835960049313955
0.0,1,2,7.56405570413313e-06,5.406123422809906e-06,6.523127395012318e-10,2.496397774270874e-05,-0.03939076427080854
0.0,1,3,-5.599586429600123e-05,-7.340753490712038e-07,9.202832648468347e-10,2.9405283927000997e-05,-0.15036509997971703
0.0,1,4,-0.0001628758709180071,-1.6948254905964793e-05,1.241927617687453e-09,3.430342759396616e-05,-0.6145413397870362
0.0,1,5,8.213475889420736e-05,-7.039953525947582e-06,1.5118197675848508e-09,3.799725942072814e-05,-0.2332364117038255
0.0,1,6,0.00010434495373077649,4.098537199724824e-06,2.0374226820579626e-09,4.4564752188763745e-05,-0.019529154183933306
0.0,1,7,1.3525592263402496e-05,5.041242706092591e-06,2.5042606480725348e-09,4.9601365490009895e-05,-0.039162093437856815
0.0,1,8,9.384689326605311e-05,1.3921807762088645e-05,2.851041073572067e-09,5.297849234056171e-05,0.15448161141398004
0.0,1,9,-0.00017472348711756406,-4.942721725876617e-06,3.1437032650701137e-09,5.566125073611816e-05,-0.2131367017922846
0.0,1,10,-7.534266455885983e-05,-1.1982716009174939e-05,3.4464852826164647e-09,5.827984359166684e-05,-0.32688725609413993
0.0,1,11,0.00023797518941081933,1.3013074532824478e-05,3.677167019124293e-09,6.027322107915535e-05,0.1641178815598145
0.0,1,12,9.388147403588459e-05,2.109991448313049e-05,4.029736660946013e-09,6.312404683999411e-05,0.3168463289284307
0.0,1,13,-0.00010151085085302581,8.838837949514863e-06,4.3177849959160475e-09,6.541357678679152e-05,0.09955901492382749
0.0,1,14,-7.741100636110473e-05,2.1385351845291522e-07,4.652778052930082e-09,6.790918849502894e-05,0.01634436979716361
0.0,1,15,9.021640679419748e-06,1.0946322345495977e-06,4.982568918010469e-09,7.029891074810087e-05,0.025676046654780862
0.0,1,16,9.712289231289219e-06,1.956397934223559e-06,5.229274651878297e-09,7.209973375113674e-05,0.042789185365026385
0.0,1,17,3.856342594927939e-05,5.617100735729142e-06,5.437254315110597e-09,7.349272153312346e-05,0.09195312177523444
0.0,1,18,-9.290070836068826e-05,-4.234680173912597e-06,5.683051318334659e-09,7.507916060731407e-05,-0.043554499615366116
0.0,1,19,-0.00013252906700674815,-1.706411885719615e-05,5.975718358519117e-09,7.700667567204361e-05,-0.23311688498369054
0.0,1,20,-3.7460663982917257e-05,-1.910377336976826e-05,6.343523667018338e-09,7.939469914088367e-05,-0.26817016124175763
0.0,1,21,7.25599623492745e-06,-1.6467796409298688e-05,6.665788685272843e-09,8.142575636192481e-05,-0.2229107404136771
0.0,1,22,0.00013789912100734306,-1.0311046676345152e-06,7.057972366394361e-09,8.377180840026179e-05,-0.05623801311651211
0.0,1,23,-9.232925899926725e-06,-1.8512867908637382e-06,7.4322753831049204e-09,8.599008038224332e-05,-0.06534655466311426
0.0,1,24,0.00010189554567335264,8.523396455557893e-06,7.713925985412784e-09,8.760491562987427e-05,0.051575334895227004
0.0,1,25,-0.0001677968941876758,-9.108632608765473e-06,8.00112255662712e-09,8.926114778535661e-05,-0.12715351528576288
0.0,1,26,1.2165839045314695e-05,-6.981185443357461e-06,8.34697526791692e-09,9.117788326297601e-05,-0.09471921328253441
0.0,1,27,4.203450892639518e-05,-2.0796160063821933e-06,8.72812555504845e-09,9.32998361460104e-05,-0.0264770874642776
0.0,1,28,-0.00010408126418155983,-1.2279780823899958e-05,8.989382588160612e-09,9.470724254717982e-05,-0.12329914489364062
0.0,1,29,3.1733555099913615e-05,-7.878447231518598e-06,9.304446256408321e-09,9.632792809120571e-05,-0.0780967985770013
0.0,1,30,0.00018366168545640667,1.127556603727392e-05,9.657151180779261e-09,9.81403384581852e-05,0.117768214083974
0.0,1,31,7.026769324938357e-05,1.717477875848489e-05,9.959623568680026e-09,9.96491367405736e-05,0.17978493225627182
0.0,1,32,-1.6065425270706423e-05,1.3850758355565757e-05,1.0340665765964483e-08,0.00010153168675711125,0.13749250228919913
0.0,1,33,2.6412676794273907e-05,1.5106950199436573e-05,1.069795098866405e-08,0.00010328093323525212,0.1501674970475396
0.0,1,34,-9.452462177965269e-06,1.2651008961696397e-05,1.0965776709904704e-08,0.00010457126587753463,0.12744182418961983
0.0,1,35,-0.00021056038375145774,-9.670130309619019e-06,1.1264471476783398e-08,0.00010598731868554371,-0.08763705183754977
0.0,1,36,2.4992761302998216e-05,-6.203841148357291e-06,1.1460389230947435e-08,0.00010689145146414381,-0.058409657447413804
0.0,1,37,0.00020958904836226682,1.5375447802705115e-05,1.1910324991980351e-08,0.00010900795589088519,0.14694503447730758
0.0,1,38,-3.749768107624456e-05,1.0088134914810151e-05,1.2260499526567874e-08,0.00011059330503276541,0.0901625351914044
0.0,1,39,-6.406906047187044e-05,2.672415376142093e-06,1.2578074148457382e-08,0.00011200832868929603,0.03195943044671426
0.0,1,40,6.797054141704657e-05,9.202227980232543e-06,1.2921715056735842e-08,0.00011350882021830701,0.08164019869293164
0.0,1,41,-7.017672667158236e-05,1.2643325150510568e-06,1.3247408866617891e-08,0.00011494786960078486,0.008943073453948777
0.0,1,42,-6.970021417349696e-05,-5.832122153803746e-06,1.3649511251135829e-08,0.00011668988784659115,-0.06500846455412401
0.0,1,43,0.00021939105545977825,1.669019560755445e-05,1.39737649694694e-08,0.00011808715051965454,0.13611672824269933
0.0,1,44,0.0001463062773063436,2.9651803777433366e-05,1.4189253651485695e-08,0.0001189950779982086,0.24336107864270268
0.0,1,45,3.6900785036288446e-05,3.0376701903318876e-05,1.4430501650344987e-08,0.00012000072182062824,0.24239899239461205
0.0,1,46,-4.181887632403941e-05,2.3157144080583045e-05,1.481261821317428e-08,0.0001215886365360955,0.1770694066568493
0.0,1,47,-9.263140372638495e-05,1.1578289299886252e-05,1.5026073922411185e-08,0.0001224554749269729,0.08935980818333134
0.0,1,48,6.158109046953465e-06,1.1036271274592976e-05,1.537287177498391e-08,0.00012387335591630032,0.09387355548967838
0.0,1,49,-5.964946399972031e-05,3.9676977471616526e-06,1.5722209330599266e-08,0.00012527569413708234,0.04060994841656838
0.0,2,0,-1.296375362533345e-10,-1.2963753625333448e-11,2.608478028243591e-22,1.0013757427296078e-08,-0.001293789473659989
0.0,2,1,-1.296375362533345e-10,-2.4631131888133552e-11,5.214347578458938e-22,1.001945107567226e-08,-0.002456173178034442
